Time(us),number of Characters,,Time(us),number of Characters,,Time(us),number of Characters
22,1213,,232,14582,,1867,113898
21,1213,,233,14582,,1837,113898
21,1213,,274,14582,,1921,113898
23,1213,,292,14582,,2053,113898
51,1213,,251,14582,,2000,113898
23,1213,,232,14582,,1892,113898
23,1213,,226,14582,,1888,113898
27,1213,,248,14582,,1895,113898
22,1213,,237,14582,,1862,113898
21,1213,,271,14582,,2037,113898
22,1213,,374,14582,,1915,113898
22,1213,,262,14582,,1861,113898
21,1213,,274,14582,,1865,113898
24,1213,,268,14582,,1926,113898
28,1213,,230,14582,,1953,113898
22,1213,,231,14582,,2083,113898
23,1213,,271,14582,,1880,113898
22,1213,,357,14582,,1875,113898
21,1213,,324,14582,,1821,113898
20,1213,,233,14582,,1987,113898
26,1213,,236,14582,,1954,113898
31,1213,,249,14582,,1850,113898
23,1213,,252,14582,,1831,113898
45,1213,,281,14582,,1829,113898
22,1213,,442,14582,,1901,113898
28,1213,,294,14582,,2041,113898
23,1213,,237,14582,,1876,113898
22,1213,,234,14582,,1819,113898
25,1213,,243,14582,,1830,113898
26,1213,,232,14582,,1819,113898
22,1213,,239,14582,,1882,113898
22,1213,,262,14582,,2049,113898
21,1213,,230,14582,,1848,113898
21,1213,,258,14582,,1820,113898
23,1213,,238,14582,,1844,113898
24,1213,,259,14582,,1898,113898
27,1213,,232,14582,,1953,113898
29,1213,,229,14582,,1891,113898
59,1213,,280,14582,,1987,113898
